id,id_arbitro,fecha_hora,id_equipo_local,id_equipo_visitante
1,3,2023-05-03 22:01:37,3,38
2,3,2024-01-31 19:35:56,22,29
3,1,2023-06-22 17:06:31,20,50
4,3,2023-04-25 02:14:52,9,46
5,3,2024-06-28 07:45:08,3,43
6,1,2023-05-02 21:45:36,10,48
7,2,2024-04-17 00:46:57,16,26
8,1,2024-01-15 11:14:02,14,26
9,2,2024-02-19 18:36:37,14,49
10,3,2023-11-23 22:48:03,23,45
11,1,2023-05-24 13:16:29,2,46
12,3,2024-01-31 16:53:22,2,43
13,1,2024-06-28 12:39:57,5,43
14,1,2023-05-19 15:56:08,21,29
15,2,2023-03-16 19:03:44,16,36
16,1,2024-01-02 08:48:03,6,32
17,3,2024-01-01 18:52:54,3,26
18,1,2023-09-12 05:35:04,13,40
19,3,2023-03-05 12:40:28,2,49
20,1,2023-05-10 03:53:33,24,41
21,2,2023-10-11 00:33:39,19,27
22,2,2023-08-14 20:26:37,10,31
23,1,2023-12-29 18:03:51,2,41
24,2,2023-06-21 10:18:04,25,50
25,1,2024-04-13 04:33:10,16,45
26,2,2023-05-30 19:35:05,8,29
27,1,2023-04-25 21:22:52,25,30
28,3,2023-03-19 18:54:15,22,50
29,2,2024-04-05 17:21:54,5,35
30,2,2023-07-11 15:16:26,5,45
31,2,2023-12-21 12:40:53,4,26
32,3,2023-12-25 08:19:32,24,32
33,3,2023-12-22 16:08:59,10,40
34,1,2023-03-18 05:56:31,4,31
35,1,2023-03-30 23:12:40,24,47
36,3,2024-01-21 04:57:50,7,30
37,1,2024-03-14 04:51:36,21,29
38,1,2024-03-23 11:57:22,4,34
39,3,2023-09-13 09:26:56,22,32
40,1,2024-01-24 23:25:30,4,44
41,3,2023-04-24 21:37:00,3,50
42,1,2023-07-09 07:47:37,2,40
43,2,2023-08-05 19:25:30,6,50
44,2,2024-01-09 15:59:02,25,26
45,3,2024-03-15 12:00:23,20,33
46,2,2024-04-24 04:15:21,12,27
47,3,2023-06-09 04:29:45,7,43
48,2,2023-10-07 01:14:21,17,29
49,3,2023-08-04 15:35:54,18,43
50,2,2023-06-12 15:16:39,9,45
